;;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
01 Østfold;Hest;25;18;13;9;15;14;11;10;15;15;19;10;5;6;1;2;1
01 Østfold;Storfe;978;940;885;832;882;752;788;777;860;787;703;730;748;755;804;810;848
01 Østfold;Sau;16;17;19;13;12;9;12;12;17;16;16;18;16;20;16;19;24
01 Østfold;Svin;4481;4364;4221;4838;4731;4923;4781;5131;4862;5047;4749;5020;4714;4634;4598;5038;5092
01 Østfold;Fjørfe;5375;5532;5543;6053;5968;6862;7162;8098;7873;7792;7861;8542;9636;9956;8856;8621;9599
01 Østfold;Anna kjøt;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
02-03 Oslo og Akershus;Hest;33;35;30;26;31;24;15;18;23;21;16;15;7;6;2;2;1
02-03 Oslo og Akershus;Storfe;1029;1062;895;947;902;908;866;872;915;939;883;847;850;914;826;853;908
02-03 Oslo og Akershus;Sau;24;25;26;31;30;41;40;31;40;37;34;37;35;37;32;38;48
02-03 Oslo og Akershus;Svin;2927;2962;2927;3134;2692;3108;2944;3301;3053;2989;2929;2703;2536;2658;2528;2754;2540
02-03 Oslo og Akershus;Fjørfe;974;818;872;1156;1131;1209;1310;1248;1242;1259;1355;1263;1516;1526;1325;1157;1294
02-03 Oslo og Akershus;Anna kjøt;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
04 Hedmark;Hest;25;21;24;20;21;20;15;14;17;15;18;15;18;9;4;3;4
04 Hedmark;Storfe;2474;2384;2606;2661;2653;2566;2649;2784;2696;2428;2422;2429;2596;2706;2652;2705;2680
04 Hedmark;Sau;135;150;140;190;166;192;204;201;203;188;184;182;189;198;192;206;203
04 Hedmark;Svin;6506;6236;6110;6724;6602;7254;6729;7560;7433;7541;8108;8409;8105;8852;8802;9434;9171
04 Hedmark;Fjørfe;4106;4770;5384;5791;5687;6667;7265;7766;7404;7488;7564;7339;9189;10100;8721;8192;8946
04 Hedmark;Anna kjøt;7;7;9;11;7;10;9;10;14;12;10;10;12;10;7;8;9
05 Oppland;Hest;28;29;22;20;25;16;19;23;25;24;22;15;22;8;8;6;4
05 Oppland;Storfe;5267;5578;5211;5713;5794;5482;5194;5377;5688;5347;5388;5087;5508;5764;5415;5568;5688
05 Oppland;Sau;281;314;313;393;337;420;392;405;458;435;412;417;416;447;386;440;483
05 Oppland;Svin;4606;4570;4615;5024;4354;4878;4507;4806;4586;4706;4515;4605;4623;4564;4952;5117;4835
05 Oppland;Fjørfe;383;349;417;397;447;487;467;566;416;359;429;473;515;386;456;433;592
05 Oppland;Anna kjøt;16;16;15;17;14;15;13;16;20;18;16;16;16;22;17;20;23
06 Buskerud;Hest;19;18;16;14;13;10;7;7;9;7;10;9;8;5;4;2;1
06 Buskerud;Storfe;1063;1095;956;1044;1118;1055;981;967;990;923;1004;908;1057;1179;1102;1008;1023
06 Buskerud;Sau;200;182;176;210;177;210;216;207;225;210;212;217;194;210;206;211;232
06 Buskerud;Svin;676;675;628;644;515;551;611;566;524;494;474;474;540;494;575;621;589
06 Buskerud;Fjørfe;393;476;484;551;563;540;687;622;438;518;563;739;634;722;626;554;471
06 Buskerud;Anna kjøt;8;8;8;8;9;8;10;8;9;12;12;8;13;11;17;17;20
07 Vestfold;Hest;14;17;20;20;17;13;11;8;7;8;12;7;6;5;0;0;0
07 Vestfold;Storfe;572;538;486;494;452;462;497;490;556;510;586;518;542;548;561;581;647
07 Vestfold;Sau;11;14;11;14;13;13;15;14;18;21;19;16;19;19;22;20;21
07 Vestfold;Svin;4058;3937;3844;4374;4356;4861;4332;4637;4755;4995;5062;4851;4948;4834;5006;4908;4553
07 Vestfold;Fjørfe;1510;1789;1967;2112;2076;1990;2214;2415;2097;2321;2278;2495;2556;2865;2656;2719;2151
07 Vestfold;Anna kjøt;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
08 Telemark;Hest;24;19;17;11;12;9;10;4;9;9;6;4;6;3;2;1;1
08 Telemark;Storfe;567;599;545;550;557;567;569;561;530;490;600;545;506;546;575;492;524
08 Telemark;Sau;69;60;64;81;72;79;102;100;98;99;88;89;74;86;90;96;91
08 Telemark;Svin;944;953;1007;1044;910;997;914;851;890;852;838;785;798;797;899;1046;963
08 Telemark;Fjørfe;217;190;204;274;208;252;104;114;113;162;174;182;217;212;230;250;294
08 Telemark;Anna kjøt;6;5;7;6;6;8;5;10;9;11;6;8;9;9;12;12;17
09 Aust-Agder;Hest;6;3;7;9;9;5;6;7;9;3;7;8;11;1;0;1;1
09 Aust-Agder;Storfe;411;401;377;435;465;421;423;413;400;330;360;306;373;367;353;330;331
09 Aust-Agder;Sau;81;73;72;75;66;62;67;61;61;59;50;56;52;55;55;61;63
09 Aust-Agder;Svin;403;362;349;460;380;331;339;349;369;470;521;498;462;460;440;484;492
09 Aust-Agder;Fjørfe;125;106;137;141;116;130;128;143;289;218;174;215;227;226;168;32;0
09 Aust-Agder;Anna kjøt;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;0
10 Vest-Agder;Hest;14;11;10;4;6;4;6;3;4;4;6;11;5;4;1;1;1
10 Vest-Agder;Storfe;1144;1129;992;1075;1074;1157;1040;1010;1077;969;966;853;985;986;976;985;1029
10 Vest-Agder;Sau;101;100;94;112;100;112;122;103;100;107;102;93;91;105;99;95;119
10 Vest-Agder;Svin;493;470;390;430;329;364;334;337;280;343;442;470;437;610;629;667;651
10 Vest-Agder;Fjørfe;151;152;189;159;157;122;96;75;104;76;96;92;120;260;228;281;298
10 Vest-Agder;Anna kjøt;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1
11 Rogaland;Hest;29;30;34;32;30;24;29;25;31;24;30;21;36;10;5;3;2
11 Rogaland;Storfe;6752;7293;6906;7168;7224;7386;6887;7103;6833;6944;6999;6434;7195;6401;6362;6547;6570
11 Rogaland;Sau;470;501;477;579;589;626;669;686;685;739;748;752;787;796;802;817;923
11 Rogaland;Svin;11621;11564;12263;13739;14743;15790;15139;16916;16908;18030;18734;19254;18832;18407;19467;20115;19902
11 Rogaland;Fjørfe;2998;3475;3645;3658;4549;4013;5862;6909;7220;7545;6831;7862;8965;10693;9309;11823;14153
